promise_id,message_id,conversation_id,promise_text,promise_type,owner_employee_id,owner_department_id,created_ts,due_ts,completed_ts,current_status,priority,ai_confidence_score,risk_score,sla_hours,is_human_confirmed,duplicate_group_id
P00001,M00001,C0001,I will send the revised analysis by Tuesday.,Deliverable,E004,D004,2026-01-05 12:00:00,2026-01-07 12:00:00,,Overdue,Low,0.721,0.701,48,1,DG001
P00002,M00012,C0012,No action is required until finance validates the forecast.,Decision,E009,D001,2026-01-27 23:00:00,2026-02-06 23:00:00,,Cancelled,Critical,0.93,0.211,72,1,DG001
P00003,M00023,C0023,The customer expects an update by end of day.,Approval,E014,D006,2026-02-19 02:00:00,2026-03-01 02:00:00,,Reassigned,High,0.86,0.11,72,1,
P00004,M00034,C0034,Please escalate if there is no response within 48 hours.,Follow-up,E019,D003,2026-03-13 14:00:00,2026-03-15 14:00:00,,Reassigned,Medium,0.753,0.16,48,0,
P00005,M00045,C0045,We need to reassign this because the current owner is on leave.,Investigation,E024,D008,2026-04-04 22:00:00,2026-04-08 22:00:00,,Overdue,Low,0.987,0.607,72,1,
P00006,M00056,C0056,I completed the draft and attached it for review.,Customer Update,E029,D005,2026-04-25 20:00:00,2026-05-05 20:00:00,,Cancelled,Critical,0.885,0.512,120,1,
P00007,M00067,C0007,The dependency is still blocked by vendor access.,Dependency,E034,D002,2026-01-18 05:00:00,2026-01-23 05:00:00,2026-01-24 21:00:00,Fulfilled,High,0.84,0.175,96,1,
P00008,M00078,C0018,Can you confirm the owner and close the open action?,Deliverable,E039,D007,2026-02-09 10:00:00,2026-02-19 10:00:00,2026-02-19 13:00:00,Fulfilled,Medium,0.923,0.584,96,1,
P00009,M00089,C0029,We will circle back next week with a decision.,Decision,E004,D004,2026-03-03 15:00:00,2026-03-06 15:00:00,,Overdue,Low,0.861,0.626,48,1,
P00010,M00100,C0040,I will get legal approval before July 31.,Approval,E009,D001,2026-03-24 13:00:00,2026-03-27 13:00:00,2026-03-27 19:00:00,Fulfilled,Critical,0.783,0.282,72,0,
P00011,M00111,C0051,Let's revisit this after the 4.2 release.,Follow-up,E014,D006,2026-04-15 21:00:00,2026-04-20 21:00:00,2026-04-20 10:00:00,Fulfilled,High,0.782,0.496,72,1,
P00012,M00122,C0002,Engineering will complete the fix in the next sprint.,Investigation,E019,D003,2026-01-08 02:00:00,2026-01-15 02:00:00,2026-01-16 01:00:00,Fulfilled,Medium,0.83,0.406,48,1,
P00013,M00133,C0013,I will send the revised analysis by Friday.,Customer Update,E024,D008,2026-01-30 16:00:00,2026-02-03 16:00:00,2026-02-04 15:00:00,Fulfilled,Low,0.825,0.542,72,1,
