history_id,promise_id,event_ts,from_status,to_status,changed_by_employee_id,change_reason
H000001,P00001,2026-01-05 12:00:00,,Open,E004,AI-created commitment after policy and confidence checks
H000002,P00001,2026-01-05 20:00:00,Open,In Progress,E004,Owner update or workflow transition
H000003,P00001,2026-01-09 12:00:00,In Progress,Overdue,E004,System SLA evaluation or owner completion
H000004,P00002,2026-01-27 23:00:00,,Open,E009,AI-created commitment after policy and confidence checks
H000005,P00002,2026-01-28 16:00:00,Open,Cancelled,E009,Owner update or workflow transition
H000006,P00003,2026-02-19 02:00:00,,Open,E014,AI-created commitment after policy and confidence checks
H000007,P00003,2026-02-19 06:00:00,Open,Reassigned,E014,Owner update or workflow transition
H000008,P00004,2026-03-13 14:00:00,,Open,E019,AI-created commitment after policy and confidence checks
H000009,P00004,2026-03-14 06:00:00,Open,Reassigned,E019,Owner update or workflow transition
H000010,P00005,2026-04-04 22:00:00,,Open,E024,AI-created commitment after policy and confidence checks
H000011,P00005,2026-04-05 12:00:00,Open,In Progress,E024,Owner update or workflow transition
H000012,P00005,2026-04-10 19:00:00,In Progress,Overdue,E024,System SLA evaluation or owner completion
H000013,P00006,2026-04-25 20:00:00,,Open,E029,AI-created commitment after policy and confidence checks
H000014,P00006,2026-04-26 22:00:00,Open,Cancelled,E029,Owner update or workflow transition
H000015,P00007,2026-01-18 05:00:00,,Open,E034,AI-created commitment after policy and confidence checks
H000016,P00007,2026-01-18 15:00:00,Open,In Progress,E034,Owner update or workflow transition
H000017,P00007,2026-01-24 21:00:00,In Progress,Fulfilled,E034,System SLA evaluation or owner completion
H000018,P00008,2026-02-09 10:00:00,,Open,E039,AI-created commitment after policy and confidence checks
H000019,P00008,2026-02-10 03:00:00,Open,In Progress,E039,Owner update or workflow transition
H000020,P00008,2026-02-19 13:00:00,In Progress,Fulfilled,E039,System SLA evaluation or owner completion
H000021,P00009,2026-03-03 15:00:00,,Open,E004,AI-created commitment after policy and confidence checks
H000022,P00009,2026-03-04 13:00:00,Open,In Progress,E004,Owner update or workflow transition
H000023,P00009,2026-03-07 11:00:00,In Progress,Overdue,E004,System SLA evaluation or owner completion
H000024,P00010,2026-03-24 13:00:00,,Open,E009,AI-created commitment after policy and confidence checks
H000025,P00010,2026-03-25 16:00:00,Open,In Progress,E009,Owner update or workflow transition
H000026,P00010,2026-03-27 19:00:00,In Progress,Fulfilled,E009,System SLA evaluation or owner completion
H000027,P00011,2026-04-15 21:00:00,,Open,E014,AI-created commitment after policy and confidence checks
H000028,P00011,2026-04-16 23:00:00,Open,In Progress,E014,Owner update or workflow transition
H000029,P00011,2026-04-20 10:00:00,In Progress,Fulfilled,E014,System SLA evaluation or owner completion
H000030,P00012,2026-01-08 02:00:00,,Open,E019,AI-created commitment after policy and confidence checks
H000031,P00012,2026-01-09 06:00:00,Open,In Progress,E019,Owner update or workflow transition
H000032,P00012,2026-01-16 01:00:00,In Progress,Fulfilled,E019,System SLA evaluation or owner completion
H000033,P00013,2026-01-30 16:00:00,,Open,E024,AI-created commitment after policy and confidence checks
H000034,P00013,2026-01-31 09:00:00,Open,In Progress,E024,Owner update or workflow transition
H000035,P00013,2026-02-04 15:00:00,In Progress,Fulfilled,E024,System SLA evaluation or owner completion
H000036,P00014,2026-02-21 19:00:00,,Open,E029,AI-created commitment after policy and confidence checks
H000037,P00014,2026-02-22 05:00:00,Open,In Progress,E029,Owner update or workflow transition
H000038,P00014,2026-03-02 14:00:00,In Progress,Fulfilled,E029,System SLA evaluation or owner completion
H000039,P00015,2026-03-14 21:00:00,,Open,E034,AI-created commitment after policy and confidence checks
H000040,P00015,2026-03-15 17:00:00,Open,In Progress,E034,Owner update or workflow transition
H000041,P00015,2026-03-18 16:00:00,In Progress,Fulfilled,E034,System SLA evaluation or owner completion
H000042,P00016,2026-04-06 01:00:00,,Open,E039,AI-created commitment after policy and confidence checks
H000043,P00016,2026-04-06 11:00:00,Open,In Progress,E039,Owner update or workflow transition
H000044,P00016,2026-04-11 16:00:00,In Progress,Fulfilled,E039,System SLA evaluation or owner completion
H000045,P00017,2026-04-28 08:00:00,,Open,E004,AI-created commitment after policy and confidence checks
H000046,P00017,2026-04-28 20:00:00,Open,In Progress,E004,Owner update or workflow transition
H000047,P00017,2026-05-03 09:00:00,In Progress,Fulfilled,E004,System SLA evaluation or owner completion
H000048,P00018,2026-01-20 13:00:00,,Open,E009,AI-created commitment after policy and confidence checks
H000049,P00018,2026-01-21 17:00:00,Open,In Progress,E009,Owner update or workflow transition
H000050,P00018,2026-01-28 21:00:00,In Progress,Overdue,E009,System SLA evaluation or owner completion
H000051,P00019,2026-02-10 13:00:00,,Open,E014,AI-created commitment after policy and confidence checks
H000052,P00019,2026-02-11 18:00:00,Open,Reassigned,E014,Owner update or workflow transition
H000053,P00020,2026-03-04 21:00:00,,Open,E019,AI-created commitment after policy and confidence checks
H000054,P00020,2026-03-05 06:00:00,Open,In Progress,E019,Owner update or workflow transition
H000055,P00020,2026-03-09 22:00:00,In Progress,Overdue,E019,System SLA evaluation or owner completion
H000056,P00021,2026-03-27 09:00:00,,Open,E024,AI-created commitment after policy and confidence checks
H000057,P00021,2026-03-28 09:00:00,Open,In Progress,E024,Owner update or workflow transition
H000058,P00021,2026-04-01 14:00:00,In Progress,Fulfilled,E024,System SLA evaluation or owner completion
H000059,P00022,2026-04-18 12:00:00,,Open,E029,AI-created commitment after policy and confidence checks
H000060,P00022,2026-04-19 09:00:00,Open,In Progress,E029,Owner update or workflow transition
H000061,P00022,2026-04-21 23:00:00,In Progress,Fulfilled,E029,System SLA evaluation or owner completion
H000062,P00023,2026-01-10 21:00:00,,Open,E034,AI-created commitment after policy and confidence checks
H000063,P00023,2026-01-11 14:00:00,Open,In Progress,E034,Owner update or workflow transition
H000064,P00023,2026-01-15 04:00:00,In Progress,Overdue,E034,System SLA evaluation or owner completion
H000065,P00024,2026-01-31 19:00:00,,Open,E039,AI-created commitment after policy and confidence checks
H000066,P00024,2026-02-01 22:00:00,Open,In Progress,E039,Owner update or workflow transition
H000067,P00024,2026-02-03 10:00:00,In Progress,Fulfilled,E039,System SLA evaluation or owner completion
H000068,P00025,2026-02-23 01:00:00,,Open,E004,AI-created commitment after policy and confidence checks
H000069,P00025,2026-02-23 13:00:00,Open,In Progress,E004,Owner update or workflow transition
H000070,P00025,2026-02-26 03:00:00,In Progress,Overdue,E004,System SLA evaluation or owner completion
H000071,P00026,2026-03-17 07:00:00,,Open,E009,AI-created commitment after policy and confidence checks
H000072,P00026,2026-03-18 02:00:00,Open,In Progress,E009,Owner update or workflow transition
H000073,P00026,2026-03-27 08:00:00,In Progress,Fulfilled,E009,System SLA evaluation or owner completion
H000074,P00027,2026-04-08 17:00:00,,Open,E014,AI-created commitment after policy and confidence checks
H000075,P00027,2026-04-09 12:00:00,Open,In Progress,E014,Owner update or workflow transition
H000076,P00027,2026-04-11 23:00:00,In Progress,Fulfilled,E014,System SLA evaluation or owner completion
H000077,P00028,2026-04-29 12:00:00,,Open,E019,AI-created commitment after policy and confidence checks
H000078,P00028,2026-04-30 04:00:00,Open,In Progress,E019,Owner update or workflow transition
H000079,P00028,2026-05-01 14:00:00,In Progress,Fulfilled,E019,System SLA evaluation or owner completion
H000080,P00029,2026-01-21 18:00:00,,Open,E024,AI-created commitment after policy and confidence checks
H000081,P00029,2026-01-22 02:00:00,Open,Reassigned,E024,Owner update or workflow transition
H000082,P00030,2026-02-13 09:00:00,,Open,E029,AI-created commitment after policy and confidence checks
H000083,P00030,2026-02-14 14:00:00,Open,Reassigned,E029,Owner update or workflow transition
H000084,P00031,2026-03-07 13:00:00,,Open,E034,AI-created commitment after policy and confidence checks
H000085,P00031,2026-03-07 22:00:00,Open,In Progress,E034,Owner update or workflow transition
H000086,P00031,2026-03-11 07:00:00,In Progress,Fulfilled,E034,System SLA evaluation or owner completion
H000087,P00032,2026-03-30 01:00:00,,Open,E039,AI-created commitment after policy and confidence checks
H000088,P00032,2026-03-31 05:00:00,Open,In Progress,E039,Owner update or workflow transition
H000089,P00032,2026-04-01 17:00:00,In Progress,Overdue,E039,System SLA evaluation or owner completion
H000090,P00033,2026-04-19 17:00:00,,Open,E004,AI-created commitment after policy and confidence checks
H000091,P00033,2026-04-20 00:00:00,Open,In Progress,E004,Owner update or workflow transition
H000092,P00033,2026-04-27 11:00:00,In Progress,Overdue,E004,System SLA evaluation or owner completion
H000093,P00034,2026-01-12 00:00:00,,Open,E009,AI-created commitment after policy and confidence checks
H000094,P00034,2026-01-12 04:00:00,Open,In Progress,E009,Owner update or workflow transition
H000095,P00034,2026-01-14 19:00:00,In Progress,Escalated,E009,System SLA evaluation or owner completion
H000096,P00035,2026-02-03 06:00:00,,Open,E014,AI-created commitment after policy and confidence checks
H000097,P00035,2026-02-04 00:00:00,Open,In Progress,E014,Owner update or workflow transition
H000098,P00035,2026-02-08 23:00:00,In Progress,Fulfilled,E014,System SLA evaluation or owner completion
H000099,P00036,2026-02-25 19:00:00,,Open,E019,AI-created commitment after policy and confidence checks
H000100,P00036,2026-02-27 01:00:00,Open,In Progress,E019,Owner update or workflow transition
H000101,P00036,2026-02-27 20:00:00,In Progress,Escalated,E019,System SLA evaluation or owner completion
H000102,P00037,2026-03-18 13:00:00,,Open,E024,AI-created commitment after policy and confidence checks
H000103,P00037,2026-03-19 09:00:00,Open,In Progress,E024,Owner update or workflow transition
H000104,P00037,2026-03-21 21:00:00,In Progress,Overdue,E024,System SLA evaluation or owner completion
H000105,P00038,2026-04-09 22:00:00,,Open,E029,AI-created commitment after policy and confidence checks
