message_id,conversation_id,sender_employee_id,message_ts,message_text,message_language,has_attachment,ingestion_ts,content_hash
M00001,C0001,E001,2026-01-05 12:00:00,I will send the revised analysis by Tuesday.,en,1,2026-01-05 12:15:00,HASH00100000
M00002,C0002,E008,2026-01-07 17:00:00,Engineering will complete the fix in the next sprint.,en,0,2026-01-07 17:02:00,HASH00100001
M00003,C0003,E015,2026-01-09 20:00:00,Let's revisit this after the security release.,en,0,2026-01-09 20:04:00,HASH00100002
M00004,C0004,E022,2026-01-12 00:00:00,I will get legal approval before end of week.,en,0,2026-01-12 00:06:00,HASH00100003
M00005,C0005,E029,2026-01-14 05:00:00,We will circle back next week with a decision.,en,0,2026-01-14 05:10:00,HASH00100004
M00006,C0006,E037,2026-01-16 11:00:00,Can you confirm the owner and close the open action?,en,0,2026-01-16 11:10:00,HASH00100005
M00007,C0007,E004,2026-01-18 16:00:00,The dependency is still blocked by vendor access.,en,0,2026-01-18 16:01:00,HASH00100006
M00008,C0008,E011,2026-01-20 13:00:00,I completed the draft and attached it for review.,en,0,2026-01-20 13:12:00,HASH00100007
M00009,C0009,E018,2026-01-22 18:00:00,We need to reassign this because the current owner is on leave.,en,0,2026-01-22 18:04:00,HASH00100008
M00010,C0010,E025,2026-01-23 11:00:00,Please escalate if there is no response within 48 hours.,en,0,2026-01-23 11:15:00,HASH00100009
M00011,C0011,E033,2026-01-25 16:00:00,The customer expects an update by end of day.,en,0,2026-01-25 16:14:00,HASH00100010
M00012,C0012,E040,2026-01-27 23:00:00,No action is required until finance validates the forecast.,en,1,2026-01-27 23:02:00,HASH00100011
M00013,C0013,E007,2026-01-30 03:00:00,I will send the revised analysis by Friday.,en,0,2026-01-30 03:05:00,HASH00100012
M00014,C0014,E014,2026-02-01 10:00:00,Engineering will complete the fix in the next sprint.,en,0,2026-02-01 10:04:00,HASH00100013
M00015,C0015,E021,2026-02-03 06:00:00,Let's revisit this after the production release.,en,0,2026-02-03 06:12:00,HASH00100014
M00016,C0016,E029,2026-02-05 13:00:00,I will get legal approval before Tuesday.,en,0,2026-02-05 13:04:00,HASH00100015
M00017,C0017,E036,2026-02-07 18:00:00,We will circle back next week with a decision.,en,0,2026-02-07 18:13:00,HASH00100016
M00018,C0018,E003,2026-02-09 23:00:00,Can you confirm the owner and close the open action?,en,0,2026-02-09 23:04:00,HASH00100017
M00019,C0019,E010,2026-02-10 13:00:00,The dependency is still blocked by vendor access.,en,0,2026-02-10 13:02:00,HASH00100018
M00020,C0020,E017,2026-02-12 21:00:00,I completed the draft and attached it for review.,en,0,2026-02-12 21:06:00,HASH00100019
M00021,C0021,E025,2026-02-15 02:00:00,We need to reassign this because the current owner is on leave.,en,0,2026-02-15 02:07:00,HASH00100020
M00022,C0022,E032,2026-02-17 00:00:00,Please escalate if there is no response within 48 hours.,en,0,2026-02-17 00:14:00,HASH00100021
M00023,C0023,E039,2026-02-19 02:00:00,The customer expects an update by end of day.,en,1,2026-02-19 02:11:00,HASH00100022
M00024,C0024,E006,2026-02-21 07:00:00,No action is required until finance validates the forecast.,en,0,2026-02-21 07:01:00,HASH00100023
M00025,C0025,E013,2026-02-23 15:00:00,I will send the revised analysis by July 31.,en,0,2026-02-23 15:12:00,HASH00100024
M00026,C0026,E021,2026-02-25 19:00:00,Engineering will complete the fix in the next sprint.,en,0,2026-02-25 19:13:00,HASH00100025
M00027,C0027,E028,2026-02-27 22:00:00,Let's revisit this after the pilot release.,en,0,2026-02-27 22:04:00,HASH00100026
M00028,C0028,E035,2026-02-28 16:00:00,I will get legal approval before Friday.,en,0,2026-02-28 16:04:00,HASH00100027
M00029,C0029,E002,2026-03-02 16:00:00,We will circle back next week with a decision.,en,0,2026-03-02 16:03:00,HASH00100028
M00030,C0030,E009,2026-03-04 21:00:00,Can you confirm the owner and close the open action?,en,0,2026-03-04 21:03:00,HASH00100029
M00031,C0031,E017,2026-03-07 01:00:00,The dependency is still blocked by vendor access.,en,0,2026-03-07 01:08:00,HASH00100030
M00032,C0032,E024,2026-03-09 05:00:00,I completed the draft and attached it for review.,en,0,2026-03-09 05:14:00,HASH00100031
M00033,C0033,E031,2026-03-11 09:00:00,We need to reassign this because the current owner is on leave.,en,0,2026-03-11 09:08:00,HASH00100032
M00034,C0034,E038,2026-03-13 14:00:00,Please escalate if there is no response within 48 hours.,en,1,2026-03-13 14:01:00,HASH00100033
M00035,C0035,E005,2026-03-15 19:00:00,The customer expects an update by end of day.,en,0,2026-03-15 19:02:00,HASH00100034
M00036,C0036,E013,2026-03-17 18:00:00,No action is required until finance validates the forecast.,en,0,2026-03-17 18:03:00,HASH00100035
M00037,C0037,E020,2026-03-18 13:00:00,I will send the revised analysis by Wednesday.,en,0,2026-03-18 13:08:00,HASH00100036
M00038,C0038,E027,2026-03-20 18:00:00,Engineering will complete the fix in the next sprint.,en,0,2026-03-20 18:04:00,HASH00100037
M00039,C0039,E034,2026-03-22 23:00:00,Let's revisit this after the quarter-end release.,en,0,2026-03-22 23:15:00,HASH00100038
